Designator,Mid X,Mid Y,Rotation,Layer
BT1,132.206396,-100.683735,90.0,top
C1,124.609458,-90.428948,0.0,top
C10,100.650461,-109.346949,270.0,top
C11,106.990606,-109.34695,270.0,top
C2,129.059459,-108.684449,180.0,top
C3,103.820459,-109.34695,90.0,top
C4,124.609457,-114.184449,270.0,top
C5,126.359461,-114.198449,270.0,top
C6,124.609458,-96.488948,180.0,top
C7,120.459461,-101.954449,0.0,top
C8,123.039458,-104.784447,90.0,top
C9,99.065459,-109.346948,270.0,top
D1,112.646582,-83.302426,330.0,top
D2,118.282945,-83.333561,30.0,top
J1,104.844494,-82.068953,150.0,top
J2,115.490371,-120.892018,90.0,top
L1,126.359459,-111.237949,270.0,top
R1,127.109459,-84.521949,0.0,top
R10,130.709458,-93.459448,270.0,top
R11,128.999459,-93.459449,90.0,top
R12,127.289458,-93.459449,270.0,top
R13,127.4,-103.6,180.0,top
R14,105.405461,-109.34695,270.0,top
R15,129.059459,-114.934448,0.0,top
R16,131.859459,-111.821949,90.0,top
R17,116.118474,-98.019993,90.0,top
R18,111.035458,-102.283995,0.0,top
R19,111.035458,-103.993748,0.0,top
R2,109.034461,-121.791992,180.0,top
R20,102.235461,-109.346949,270.0,top
R21,116.118474,-94.809993,270.0,top
R22,108.575607,-109.346948,90.0,top
R3,109.109459,-116.492017,180.0,top
R4,119.859461,-86.521949,180.0,top
R5,111.609459,-86.521949,0.0,top
R6,105.300197,-88.959651,150.0,top
R7,98.649121,-85.119651,150.0,top
R8,120.219459,-93.459449,90.0,top
R9,121.929456,-93.459449,270.0,top
SW1,130.6991,-121.484894,36.0,top
SW2,124.625515,-80.461336,210.0,top
SW3,111.346461,-96.623656,90.0,top
U1,100.46041,-89.66241,240.0,top
U2,129.059457,-111.821949,90.0,top
U3,124.609458,-93.459448,270.0,top
U4,114.089959,-112.091951,0.0,top
U5,100.805606,-100.683747,90.0,top
U6,120.459461,-104.784449,180.0,top
