Designator,Footprint,Quantity,Value,LCSC Part #
BT1,CONN-SMD_2P-P1.25_XUNPU_WAFER-MX1.25-2PWB,1,Micro-JST,C3029359
"C1, C10, C3, C4, C5, C6",0603,6,4.7uF,C19666
"C11, C2, C7, C8, C9",0603,5,100nF,C14663
D1,LED-SMD_FM-3510RGBA-SG,1,CHARGING_LED,C727903
D2,LED-SMD_FM-3510RGBA-SG,1,STATUS_LED,C727903
D3,D_SOD-123,1,1N5817W,C2828419
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB-C,C2765186
J2,AUDIO-SMD_PJ-342C,1,TRRS,C2837091
L1,0806,1,4.7uH,C98335
Q1,SOT-23,1,AO3401A,C6575062
"R1, R10, R18, R19, R20, R21, R22, R23, R6, R7, R9",0603,11,5k1,C23186
"R11, R12, R13, R2, R3",0603,5,220R,C22962
"R14, R15, R17, R8",0603,4,150k,C22807
R16,0603,1,680k,C25822
"R4, R5",0603,2,3k,C4211
SW1,SW-SMD_TS-KG012EV,1,BTN_RESET,C410363
SW2,SW-SMD_TS-KG012EV,1,BTN_USER,C410363
SW3,SW-SMD_L3.9-W3.0-P4.45,1,BTN_BOOT,C720477
TP1,TestPoint_Pad_D1.5mm,1,VBUS,N/A
TP10,TestPoint_Pad_D1.5mm,1,GND,N/A
TP2,TestPoint_Pad_D1.5mm,1,+BATT,N/A
TP3,TestPoint_Pad_D1.5mm,1,+3V3,N/A
TP4,TestPoint_Pad_D1.5mm,1,SCL,N/A
TP5,TestPoint_Pad_D1.5mm,1,SDA,N/A
TP6,TestPoint_Pad_D1.5mm,1,TXD,N/A
TP7,TestPoint_Pad_D1.5mm,1,RXD,N/A
TP8,TestPoint_Pad_D1.5mm,1,EN,N/A
TP9,TestPoint_Pad_D1.5mm,1,BOOT,N/A
"U1, U4",SOT-23-6,2,SRV05-4,C7420376
U2,SOT-23-6,1,BQ21040,C202311
U3,SOT-23-5,1,M3406,C83224
U5,ESP32-C3-MINI-1,1,ESP32-C3-MINI-1-N4,C2838502
U6,Bosch_LGA-14_3x2.5mm_P0.5mm,1,BMI270,C2836813
