Designator,Mid X,Mid Y,Rotation,Layer
BT1,140.85395,-99.399285,90.0,top
C1,133.257012,-89.144498,0.0,top
C10,109.298015,-108.062499,270.0,top
C11,115.63816,-108.062501,270.0,top
C2,112.468013,-108.0625,90.0,top
C3,135.737513,-107.2125,180.0,top
C4,133.257012,-95.204498,180.0,top
C5,131.412511,-112.0905,270.0,top
C6,133.162515,-112.104501,270.0,top
C7,129.107015,-100.669999,0.0,top
C8,131.687012,-103.499997,90.0,top
C9,107.713013,-108.062498,270.0,top
D1,121.294136,-82.017976,330.0,top
D2,126.930499,-82.049111,30.0,top
D3,141.192,-106.525,90.0,top
J1,113.492048,-80.784503,150.0,top
J2,124.137925,-119.487549,180.0,top
L1,132.1625,-109.4,180.0,top
Q1,144.5125,-106.6,180.0,top
R1,135.757012,-83.2375,0.0,top
R10,130.57701,-92.174999,270.0,top
R11,139.357012,-92.174998,270.0,top
R12,137.647012,-92.175,90.0,top
R13,135.937012,-92.174999,270.0,top
R14,136.047554,-102.315551,180.0,top
R15,114.053015,-108.0625,270.0,top
R16,135.737513,-113.462499,0.0,top
R17,138.537513,-110.35,90.0,top
R18,124.766028,-96.735543,90.0,top
R19,119.683012,-100.999545,0.0,top
R2,128.537925,-113.216,90.0,top
R20,119.683012,-102.709299,0.0,top
R21,110.883015,-108.062499,270.0,top
R22,124.766027,-93.525544,270.0,top
R23,117.223161,-108.062498,90.0,top
R3,117.158,-115.30759,180.0,top
R4,128.507015,-85.237499,180.0,top
R5,120.257013,-85.237499,0.0,top
R6,113.947751,-87.675201,150.0,top
R7,107.296675,-83.835202,150.0,top
R8,117.307675,-86.774873,240.0,top
R9,128.867012,-92.175,90.0,top
SW1,139.346654,-120.200444,36.0,top
SW2,133.273068,-79.176886,210.0,top
SW3,119.994015,-95.339206,90.0,top
U1,109.107963,-88.37796,240.0,top
U2,133.257012,-92.174998,270.0,top
U3,135.737511,-110.35,90.0,top
U4,122.737513,-112.557502,0.0,top
U5,109.453159,-99.399297,90.0,top
U6,129.107015,-103.499999,180.0,top
