Designator,Mid X,Mid Y,Rotation,Layer
C1_2,14.604838,-42.484044,0.0,top
C1,60.894356,-42.484044,0.0,top
C10_2,36.40486,-28.384033,90.0,top
C10,82.694378,-28.384033,90.0,top
C2_2,17.879861,-40.684036,180.0,top
C2,64.169379,-40.684036,180.0,top
C3_2,14.604872,-40.684035,0.0,top
C3,60.89439,-40.684035,0.0,top
C4_2,42.207978,-36.691587,270.0,top
C4,88.497496,-36.691587,270.0,top
C5_2,40.108006,-36.691587,270.0,top
C5,86.397524,-36.691587,270.0,top
C6_2,76.569386,-36.784048,0.0,top
C6,30.279868,-36.784048,0.0,top
C7_2,82.697501,-23.791585,270.0,top
C7,36.407983,-23.791585,270.0,top
C8_2,71.394377,-39.584031,90.0,top
C8,25.104859,-39.584031,90.0,top
C9_2,57.894399,-44.909035,90.0,top
C9,11.604881,-44.909035,90.0,top
J1_2,64.085843,-14.388203,150.0,top
J1,17.796325,-14.388203,150.0,top
L1_2,38.765199,-28.33803,270.0,top
L1,85.054717,-28.33803,270.0,top
R1_2,86.13341,-12.380998,330.0,bottom
R1,39.843892,-12.380998,330.0,bottom
R10_2,83.435244,-43.509198,225.0,top
R10,37.145726,-43.509198,225.0,top
R11_2,72.994392,-31.384067,270.0,top
R11,26.704874,-31.384067,270.0,top
R12_2,35.720386,-42.106111,225.0,top
R12,82.009904,-42.106111,225.0,top
R13_2,85.234285,-32.705852,0.0,top
R13,38.944767,-32.705852,0.0,top
R14_2,59.749154,-16.737918,150.0,top
R14,13.459636,-16.737918,150.0,top
R15_2,26.579873,-36.784048,0.0,top
R15,72.869391,-36.784048,0.0,top
R16_2,64.050934,-19.337008,330.0,top
R16,17.761416,-19.337008,330.0,top
R17_2,77.894382,-39.684025,270.0,top
R17,31.604864,-39.684025,270.0,top
R18_2,41.265218,-28.284022,90.0,top
R18,87.554736,-28.284022,90.0,top
R19_2,44.733029,-24.191611,0.0,top
R19,91.022547,-24.191611,0.0,top
R2_2,87.092182,-47.667805,144.0,bottom
R2,40.802664,-47.667805,144.0,bottom
R20_2,57.894391,-48.184029,90.0,top
R20,11.604873,-48.184029,90.0,top
R21_2,65.779909,-11.27154,210.0,bottom
R21,19.490391,-11.27154,210.0,bottom
R22_2,64.90224,-12.774506,210.0,bottom
R22,18.612722,-12.774506,210.0,bottom
R3_2,36.176567,-13.103996,300.0,top
R3,82.466085,-13.103996,300.0,top
R4_2,67.394367,-42.484026,0.0,top
R4,21.104849,-42.484026,0.0,top
R5_2,67.394367,-40.684018,180.0,top
R5,21.104849,-40.684018,180.0,top
R6_2,64.19438,-42.484023,180.0,top
R6,17.904862,-42.484023,180.0,top
R7_2,22.004836,-50.409041,90.0,top
R7,68.294354,-50.409041,90.0,top
R8_2,22.004855,-46.784043,270.0,top
R8,68.294373,-46.784043,270.0,top
R9_2,38.630635,-40.468623,135.0,top
R9,84.920153,-40.468623,135.0,top
U1_2,32.483728,-13.369632,30.0,top
U1,78.773246,-13.369632,30.0,top
U10_2,39.927713,-24.18801,0.0,top
U10,86.217231,-24.18801,0.0,top
U11_2,62.766785,-46.919024,90.0,top
U11,16.477267,-46.919024,90.0,top
U12_2,63.08001,-53.316918,306.0,bottom
U12,16.790492,-53.316918,306.0,bottom
U13_2,78.773246,-13.369632,330.0,bottom
U13,32.483728,-13.369632,330.0,bottom
U2_2,38.502384,-9.96395,330.0,bottom
U2,84.791902,-9.96395,330.0,bottom
U3_2,43.413842,-52.219591,144.0,bottom
U3,89.70336,-52.219591,144.0,bottom
U4_2,13.344748,-32.705859,90.0,top
U4,59.634266,-32.705859,90.0,top
U5_2,74.434322,-51.499847,90.0,top
U5,28.144804,-51.499847,90.0,top
U6_2,89.234287,-32.705833,270.0,top
U6,42.944769,-32.705833,270.0,top
U7_2,70.244384,-30.434026,0.0,top
U7,23.954866,-30.434026,0.0,top
U8_2,15.000758,-20.918572,60.0,top
U8,61.290276,-20.918572,60.0,top
U9_2,28.377822,-39.640981,0.0,top
U9,74.66734,-39.640981,0.0,top
