Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C8, C9",0603,3,100n,
C10,0603,1,0.1u,
"C2, C5, C7",0603,3,1u,
"C3, C6",0603,2,4.7u,
C4,0603,1,10u,
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0,
L1,0603,1,2.2uH,
"R1, R11, R12, R2, R5, R6, R7",0603,7,5k1,
"R10, R13, R20",0603,3,3k,
"R14, R15",0603,2,4k7,
"R16, R17, R18, R19",0603,4,220,
R3,0603,1,680k,
R4,0603,1,150k,
R8,0603,1,680R,
R9,0603,1,10k,
U1,XCVR_ESP32-C3-MINI-1-N4,1,ESP32-C3-MINI-1-N4,
"U10, U13",LED-SMD_FM-3510RGBA-SG,2,FM-3510RGBA-SG,C727903
U11,CONN-TH_1.25T-2AW,1,1_25T-2AW_C722634,C722634
"U12, U5",SOT-363_SC-70-6,2,SMF05CT1G,
U2,SOT95P280X145-6N,1,BQ21040DBVR,
U3,Bosch_LGA-14_3x2.5mm_P0.5mm,1,BMI270,
U4,SOT-23-5,1,M3406,C83224
U6,AUDIO-TH_ST-0277D00-052-142,1,ST-0277D00-052-142,C2837093
U7,SW-TH_TK-6580A8-1,1,TK-6580A8-1,C528772
U8,DFN-8_L2.0-W2.0-P0.50-BL-EP,1,MAX17048G+T10,C2682616
U9,SW-SMD_YTSB001XXXX,1,TSB001A3526A02,C2888889
