Designator,Mid X,Mid Y,Rotation,Layer
C1,137.137278,-115.77035,0.0,top
C10,162.737274,-112.770305,270.0,top
C11,165.737281,-116.270311,0.0,top
C12,156.737294,-99.770308,90.0,top
C13,156.237297,-92.770276,90.0,top
C2,130.13728,-117.77033,180.0,top
C3,141.901523,-101.191571,0.0,top
C4,130.137271,-115.770331,180.0,top
C5,141.901541,-105.191567,180.0,top
C6,135.637292,-99.270346,180.0,top
C7,132.1373,-99.270349,180.0,top
C8,150.401535,-97.691571,90.0,top
C9,152.401529,-97.691571,270.0,top
J1,134.894342,-88.521675,150.0,top
L1,151.40153,-102.191575,0.0,top
L2,159.737296,-95.270288,270.0,top
R1,137.137283,-117.770356,180.0,top
R10,141.901525,-95.691564,270.0,top
R11,145.006556,-113.699853,0.0,top
R12,139.901548,-95.691558,270.0,top
R13,158.741682,-123.203205,216.0,top
R14,147.806538,-114.69987,270.0,top
R15,145.00655,-115.699866,180.0,top
R16,145.006545,-117.699866,0.0,top
R17,148.401528,-94.191555,90.0,top
R18,146.401528,-94.191559,270.0,top
R19,151.401533,-105.191573,180.0,top
R2,133.637287,-115.770372,0.0,top
R20,151.401536,-100.191565,180.0,top
R21,154.23727,-92.770293,270.0,top
R22,140.248519,-91.407287,240.0,top
R23,165.737296,-106.770323,0.0,top
R24,165.737301,-108.770316,0.0,top
R25,141.98059,-92.407323,240.0,top
R26,155.737286,-104.27029,180.0,top
R27,137.457202,-125.123219,0.0,top
R28,159.237289,-106.270297,0.0,top
R29,159.237305,-104.270289,180.0,top
R3,130.229282,-91.601806,150.0,top
R30,155.737292,-106.270272,180.0,top
R31,140.437334,-128.564331,270.0,top
R32,138.437337,-128.564331,270.0,top
R33,152.237399,-123.81435,90.0,top
R34,152.237391,-120.314346,270.0,top
R35,154.237396,-120.314331,270.0,top
R4,134.559398,-94.101805,330.0,top
R5,151.385195,-91.258022,210.0,top
R6,133.637285,-117.770359,180.0,top
R7,141.901552,-103.19157,180.0,top
R8,126.637274,-115.770336,0.0,top
R9,137.901537,-95.691562,270.0,top
U1,131.637299,-107.770332,90.0,top
U10,159.73731,-99.770297,270.0,top
U11,146.437338,-126.564335,90.0,top
U12,146.437359,-109.064324,90.0,top
U2,150.010149,-88.87645,30.0,top
U3,146.401534,-100.191555,180.0,top
U4,161.092832,-126.439258,36.0,top
U5,156.192979,-86.598401,210.0,top
U6,142.864534,-88.876247,330.0,top
U7,165.737298,-112.770305,270.0,top
U8,138.707176,-121.373204,90.0,top
U9,131.02261,-95.27081,240.0,top
