Designator,Footprint,Quantity,Value,LCSC Part #
"_6, _5, _4, _3, _2, ",Fiducial_1.5mm_Mask3mm,6,,
"C1_2, C1, C8_2, C8, C9_2, C9",0603,6,100n,
"C10_2, C10",0603,2,0.1u,
"C2_2, C2, C5_2, C5, C7_2, C7",0603,6,1u,
"C3_2, C3, C6_2, C6",0603,4,4.7u,
"C4_2, C4",0603,2,10u,
"J1_2, J1",USB_C_Receptacle_G-Switch_GT-USB-7010ASV,2,USB_C_Receptacle_USB2.0,
"L1_2, L1",0603,2,2.2uH,
"R1_2, R1, R11_2, R11, R12_2, R12, R2_2, R2, R5_2, R5, R6_2, R6, R7_2, R7",0603,14,5k1,
"R10_2, R10, R13_2, R13, R20_2, R20",0603,6,3k,
"R14_2, R14, R15_2, R15",0603,4,4k7,
"R16_2, R16, R17_2, R17, R18_2, R18, R19_2, R19",0603,8,220,
"R3_2, R3",0603,2,680k,
"R4_2, R4",0603,2,150k,
"R8_2, R8",0603,2,680R,
"R9_2, R9",0603,2,10k,
"U1_2, U1",XCVR_ESP32-C3-MINI-1-N4,2,ESP32-C3-MINI-1-N4,
"U10_2, U10, U13_2, U13",LED-SMD_FM-3510RGBA-SG,4,FM-3510RGBA-SG,C727903
"U11_2, U11",CONN-TH_1.25T-2AW,2,1_25T-2AW_C722634,C722634
"U12_2, U12, U5_2, U5",SOT-363_SC-70-6,4,SMF05CT1G,
"U2_2, U2",SOT95P280X145-6N,2,BQ21040DBVR,
"U3_2, U3",Bosch_LGA-14_3x2.5mm_P0.5mm,2,BMI270,
"U4_2, U4",SOT-23-5,2,M3406,C83224
"U6_2, U6",AUDIO-TH_ST-0277D00-052-142,2,ST-0277D00-052-142,C2837093
"U7_2, U7",SW-TH_TK-6580A8-1,2,TK-6580A8-1,C528772
"U8_2, U8",DFN-8_L2.0-W2.0-P0.50-BL-EP,2,MAX17048G+T10,C2682616
"U9_2, U9",SW-SMD_YTSB001XXXX,2,TSB001A3526A02,C2888889
