Designator,Mid X,Mid Y,Rotation,Layer
_6,117.251799,-73.336324,180.0,bottom
_5,117.251799,-73.336324,0.0,top
_4,206.230797,-73.336324,180.0,bottom
_3,206.230797,-73.336324,0.0,top
_2,117.251799,-131.998047,180.0,bottom
,117.251799,-131.998047,0.0,top
C1_2,169.8898,-110.58619,180.0,top
C1,123.100301,-110.58619,180.0,top
C10_2,189.79929,-109.652932,180.0,top
C10,143.009791,-109.652932,180.0,top
C2_2,169.889785,-112.38619,180.0,top
C2,123.100286,-112.38619,180.0,top
C3_2,193.399284,-93.75293,270.0,top
C3,146.609785,-93.75293,270.0,top
C4_2,193.099281,-98.252937,90.0,top
C4,146.309782,-98.252937,90.0,top
C5_2,175.514808,-110.58618,0.0,top
C5,128.725309,-110.58618,0.0,top
C6_2,188.268634,-106.171527,180.0,top
C6,141.479135,-106.171527,180.0,top
C7_2,181.699281,-112.952935,0.0,top
C7,134.909782,-112.952935,0.0,top
C8_2,199.199283,-106.652938,270.0,top
C8,152.409784,-106.652938,270.0,top
C9_2,197.099289,-106.652936,270.0,top
C9,150.30979,-106.652936,270.0,top
J1_2,175.493666,-83.12662,150.0,top
J1,128.704167,-83.12662,150.0,top
L1_2,195.756493,-98.299366,270.0,top
L1,148.966994,-98.299366,270.0,top
R1_2,174.75269,-89.298344,330.0,top
R1,127.963191,-89.298344,330.0,top
R10_2,191.933369,-85.048824,60.0,bottom
R10,145.14387,-85.048824,60.0,bottom
R11_2,195.621919,-110.429976,135.0,top
R11,148.83242,-110.429976,135.0,top
R12_2,174.974413,-119.339515,90.0,top
R12,128.184914,-119.339515,90.0,top
R13_2,191.933369,-85.048824,300.0,top
R13,145.14387,-85.048824,300.0,top
R14_2,194.137002,-113.470534,225.0,top
R14,147.347503,-113.470534,225.0,top
R15_2,177.66142,-120.612314,0.0,top
R15,130.871921,-120.612314,0.0,top
R16_2,177.661424,-118.208158,0.0,top
R16,130.871925,-118.208158,0.0,top
R17_2,192.711659,-112.067454,225.0,top
R17,145.92216,-112.067454,225.0,top
R18_2,195.936058,-102.667202,0.0,top
R18,149.146559,-102.667202,0.0,top
R19_2,170.714783,-115.086172,90.0,top
R19,123.925284,-115.086172,90.0,top
R2_2,170.450903,-86.699255,150.0,top
R2,123.661404,-86.699255,150.0,top
R20_2,189.162096,-86.648814,60.0,bottom
R20,142.372597,-86.648814,60.0,bottom
R3_2,198.256506,-98.199357,90.0,top
R3,151.467007,-98.199357,90.0,top
R4_2,201.724288,-94.152936,0.0,top
R4,154.934789,-94.152936,0.0,top
R5_2,197.793967,-117.62912,144.0,bottom
R5,151.004468,-117.62912,144.0,bottom
R6_2,172.714789,-115.061181,270.0,top
R6,125.92529,-115.061181,270.0,top
R7_2,175.499289,-112.752935,180.0,top
R7,128.70979,-112.752935,180.0,top
R8_2,185.399286,-112.952931,0.0,top
R8,138.609787,-112.952931,0.0,top
R9_2,184.556503,-106.199348,180.0,top
R9,137.767004,-106.199348,180.0,top
U1_2,170.336045,-102.667191,90.0,top
U1,123.546546,-102.667191,90.0,top
U10_2,189.474991,-83.33096,30.0,top
U10,142.685492,-83.33096,30.0,top
U11_2,177.182131,-125.655563,306.0,bottom
U11,130.392632,-125.655563,306.0,bottom
U12_2,171.992031,-90.879929,60.0,top
U12,125.202532,-90.879929,60.0,top
U13_2,189.474991,-83.33096,330.0,bottom
U13,142.685492,-83.33096,330.0,bottom
U2_2,185.369104,-109.602335,0.0,top
U2,138.579605,-109.602335,0.0,top
U3_2,199.936058,-102.667178,270.0,top
U3,153.146559,-102.667178,270.0,top
U4_2,196.919001,-94.149353,0.0,top
U4,150.129502,-94.149353,0.0,top
U5_2,182.636073,-102.667177,270.0,top
U5,135.846574,-102.667177,270.0,top
U6_2,185.136076,-121.461182,90.0,top
U6,138.346577,-121.461182,90.0,top
U7_2,197.137169,-82.602256,150.0,bottom
U7,150.34767,-82.602256,150.0,bottom
U8_2,193.154308,-106.632434,0.0,top
U8,146.364809,-106.632434,0.0,top
U9_2,200.031631,-120.44404,144.0,bottom
U9,153.242132,-120.44404,144.0,bottom
