Designator,Footprint,Quantity,Value,LCSC Part #
"C1_2, C1, C4_2, C4, C5_2, C5",0603,6,100n,
"C10_2, C10, C11_2, C11, C6_2, C6, C7_2, C7",0603,8,4.7u,
"C2_2, C2, C3_2, C3, C8_2, C8",0603,6,1u,
"J1_2, J1",USB-C-SMD_TYPE-C-6PIN-2MD-073,2,USB_C_Receptacle_USB2.0,
"KiKit_FID_B_1, KiKit_FID_B_2, KiKit_FID_B_3, KiKit_FID_T_1, KiKit_FID_T_2, KiKit_FID_T_3",Fiducial,6,Fiducial,
"L1_2, L1",1008,2,2.2uH,C315721
"R1_2, R1, R11_2, R11, R14_2, R14, R15_2, R15, R16_2, R16, R2_2, R2, R26_2, R26, R4_2, R4, R5_2, R5, R9_2, R9",0603,20,5k1,
"R10_2, R10, R13_2, R13, R20_2, R20, R23_2, R23, R24_2, R24, R25_2, R25, R6_2, R6, R7_2, R7",0603,16,150k,
"R12_2, R12, R18_2, R18, R19_2, R19, R8_2, R8",0603,8,220,
"R17_2, R17",0603,2,680R,
"R21_2, R21, R22_2, R22, R3_2, R3",0603,6,3k,
"U1_2, U1, U13_2, U13",LED-SMD_FM-3510RGBA-SG,4,FM-3510RGBA-SG,C727903
"U10_2, U10",SOT-23-5,2,M3406,C83224
"U12_2, U12",CONN-TH_1.25T-2AW,2,1_25T-2AW_C722634,C722634
"U14_2, U14, U2_2, U2",SW-SMD_TS-KG012EV,4,TS-KG012EV,C410363
"U15_2, U15, U3_2, U3",SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,4,SRV05-4_C558418,C558418
"U4_2, U4",XCVR_ESP32-C3-MINI-1-N4,2,ESP32-C3-MINI-1-N4,
"U5_2, U5",AUDIO-TH_ST-0277D00-052-142,2,ST-0277D00-052-142,C2837093
"U6_2, U6",Bosch_LGA-14_3x2.5mm_P0.5mm,2,BMI270,
"U9_2, U9",SOT95P280X145-6N,2,BQ21040DBVR,
