Designator,Mid X,Mid Y,Rotation,Layer
C1_4,101.705885,-88.444789,90.0,top
C1_3,101.705885,-40.155271,90.0,top
C1_2,44.294148,-40.155271,90.0,top
C1,44.294148,-88.444789,90.0,top
C10_4,98.70584,-62.844793,0.0,top
C10_3,41.294103,-62.844793,0.0,top
C10_2,41.294103,-14.555275,0.0,top
C10,98.70584,-14.555275,0.0,top
C11_4,44.794109,-11.555268,90.0,top
C11_3,102.205846,-11.555268,90.0,top
C11_2,44.794109,-59.844786,90.0,top
C11,102.205846,-59.844786,90.0,top
C12_4,85.705843,-68.844773,180.0,top
C12_3,28.294106,-68.844773,180.0,top
C12_2,85.705843,-20.555255,180.0,top
C12,28.294106,-20.555255,180.0,top
C13_4,21.294074,-69.34477,180.0,top
C13_3,78.705811,-21.055252,180.0,top
C13_2,78.705811,-69.34477,180.0,top
C13,21.294074,-21.055252,180.0,top
C2_4,103.705865,-47.155269,270.0,top
C2_3,103.705865,-95.444787,270.0,top
C2_2,46.294128,-47.155269,270.0,top
C2,46.294128,-95.444787,270.0,top
C3_4,87.127106,-83.680544,90.0,top
C3_3,29.715369,-35.391026,90.0,top
C3_2,87.127106,-35.391026,90.0,top
C3,29.715369,-83.680544,90.0,top
C4_4,101.705866,-47.155278,270.0,top
C4_3,44.294129,-47.155278,270.0,top
C4_2,101.705866,-95.444796,270.0,top
C4,44.294129,-95.444796,270.0,top
C5_4,33.715365,-83.680526,270.0,top
C5_3,91.127102,-83.680526,270.0,top
C5_2,33.715365,-35.391008,270.0,top
C5,91.127102,-35.391008,270.0,top
C6_4,85.205881,-41.655257,270.0,top
C6_3,27.794144,-41.655257,270.0,top
C6_2,85.205881,-89.944775,270.0,top
C6,27.794144,-89.944775,270.0,top
C7_4,85.205884,-93.444767,270.0,top
C7_3,27.794147,-93.444767,270.0,top
C7_2,27.794147,-45.155249,270.0,top
C7,85.205884,-45.155249,270.0,top
C8_4,26.215369,-75.180532,180.0,top
