Designator,Mid X,Mid Y,Rotation,Layer
C1,130.105455,-117.59609,180.0,top
C10,160.705497,-93.096076,180.0,top
C11,154.916691,-97.522652,0.0,top
C2,137.105461,-115.59611,0.0,top
C3,130.105457,-115.596101,180.0,top
C4,165.705456,-116.096071,0.0,top
C5,162.705463,-112.596074,270.0,top
C6,145.155528,-100.390091,90.0,top
C7,157.705465,-99.59606,90.0,top
C8,151.655545,-100.39008,270.0,top
C9,151.405502,-115.140095,270.0,top
J1,134.862518,-88.347424,150.0,top
L1,160.705465,-95.596046,0.0,top
R1,158.161149,-89.888264,210.0,top
R10,160.205475,-106.096049,0.0,top
R11,152.205575,-123.640102,90.0,top
R12,152.205576,-120.140095,270.0,top
R13,160.20548,-104.096043,180.0,top
R14,130.421311,-90.878157,150.0,top
R15,150.655515,-103.140131,180.0,top
R16,134.833387,-93.540932,330.0,top
R17,146.155526,-97.640089,0.0,top
R18,133.605455,-117.596124,180.0,top
R19,165.705476,-109.096073,180.0,top
R2,158.709868,-123.028951,216.0,top
R20,151.40551,-111.640096,270.0,top
R21,141.948756,-92.233068,60.0,top
R22,140.216699,-91.233046,60.0,top
R3,151.353368,-91.083772,210.0,top
R4,133.605454,-115.596121,0.0,top
R5,137.105462,-117.596104,180.0,top
R6,156.705461,-104.096045,180.0,top
R7,156.705476,-106.096041,180.0,top
R8,140.655539,-124.140089,270.0,top
R9,137.155495,-124.890108,0.0,top
U1,149.978326,-88.702205,30.0,top
U10,160.705477,-99.596047,270.0,top
U11,146.405506,-113.390103,270.0,top
U12,138.67536,-121.198974,90.0,top
U13,142.832718,-88.701998,330.0,top
U14,156.161159,-86.424144,210.0,top
U15,130.99079,-95.096577,240.0,top
U2,161.06101,-126.265011,36.0,top
U3,144.905544,-106.890077,90.0,top
U4,131.605465,-107.596104,90.0,top
U5,146.405525,-126.390088,90.0,top
U6,165.705478,-112.596075,270.0,top
U9,148.405506,-100.390096,180.0,top
