Designator,Mid X,Mid Y,Rotation,Layer
C1_2,7.898502,-33.624864,180.0,top
C1,56.188001,-33.624864,180.0,top
C10_2,76.097491,-32.691606,180.0,top
C10,27.807992,-32.691606,180.0,top
C2_2,56.187986,-35.424864,180.0,top
C2,7.898487,-35.424864,180.0,top
C3_2,31.407986,-16.791604,270.0,top
C3,79.697485,-16.791604,270.0,top
C4_2,31.107983,-21.291611,90.0,top
C4,79.397482,-21.291611,90.0,top
C5_2,13.52351,-33.624854,0.0,top
C5,61.813009,-33.624854,0.0,top
C6_2,26.277336,-29.210201,180.0,top
C6,74.566835,-29.210201,180.0,top
C7_2,19.707983,-35.991609,0.0,top
C7,67.997482,-35.991609,0.0,top
C8_2,85.497484,-29.691612,270.0,top
C8,37.207985,-29.691612,270.0,top
C9_2,83.39749,-29.69161,270.0,top
C9,35.107991,-29.69161,270.0,top
J1_2,13.502368,-6.165294,150.0,top
J1,61.791867,-6.165294,150.0,top
L1_2,33.765195,-21.33804,270.0,top
L1,82.054694,-21.33804,270.0,top
R1_2,61.050891,-12.337018,330.0,top
R1,12.761392,-12.337018,330.0,top
R10_2,29.942071,-8.087498,60.0,bottom
R10,78.23157,-8.087498,60.0,bottom
R11_2,33.630621,-33.46865,135.0,top
R11,81.92012,-33.46865,135.0,top
R12_2,12.983115,-42.378189,90.0,top
R12,61.272614,-42.378189,90.0,top
R13_2,29.942071,-8.087498,300.0,top
R13,78.23157,-8.087498,300.0,top
R14_2,32.145704,-36.509208,225.0,top
R14,80.435203,-36.509208,225.0,top
R15_2,15.670122,-43.650988,0.0,top
R15,63.959621,-43.650988,0.0,top
R16_2,63.959625,-41.246832,0.0,top
R16,15.670126,-41.246832,0.0,top
R17_2,30.720361,-35.106128,225.0,top
R17,79.00986,-35.106128,225.0,top
R18_2,82.234259,-25.705876,0.0,top
R18,33.94476,-25.705876,0.0,top
R19_2,8.723485,-38.124846,90.0,top
R19,57.012984,-38.124846,90.0,top
R2_2,56.749104,-9.737929,150.0,top
R2,8.459605,-9.737929,150.0,top
R20_2,27.170798,-9.687488,60.0,bottom
R20,75.460297,-9.687488,60.0,bottom
R3_2,36.265208,-21.238031,90.0,top
R3,84.554707,-21.238031,90.0,top
R4_2,39.73299,-17.19161,0.0,top
R4,88.022489,-17.19161,0.0,top
R5_2,84.092168,-40.667794,144.0,bottom
R5,35.802669,-40.667794,144.0,bottom
R6_2,59.01299,-38.099855,270.0,top
R6,10.723491,-38.099855,270.0,top
R7_2,61.79749,-35.791609,180.0,top
R7,13.507991,-35.791609,180.0,top
R8_2,23.407988,-35.991605,0.0,top
R8,71.697487,-35.991605,0.0,top
R9_2,22.565205,-29.238022,180.0,top
R9,70.854704,-29.238022,180.0,top
U1_2,56.634246,-25.705865,90.0,top
U1,8.344747,-25.705865,90.0,top
U10_2,75.773192,-6.369634,30.0,top
U10,27.483693,-6.369634,30.0,top
U11_2,63.480332,-48.694237,306.0,bottom
U11,15.190833,-48.694237,306.0,bottom
U12_2,58.290232,-13.918603,60.0,top
U12,10.000733,-13.918603,60.0,top
U13_2,27.483693,-6.369634,330.0,bottom
U13,75.773192,-6.369634,330.0,bottom
U2_2,23.377806,-32.641009,0.0,top
U2,71.667305,-32.641009,0.0,top
U3_2,86.234259,-25.705852,270.0,top
U3,37.94476,-25.705852,270.0,top
U4_2,34.927703,-17.188027,0.0,top
U4,83.217202,-17.188027,0.0,top
U5_2,68.934274,-25.705851,270.0,top
U5,20.644775,-25.705851,270.0,top
U6_2,71.434277,-44.499856,90.0,top
U6,23.144778,-44.499856,90.0,top
U7_2,83.43537,-5.64093,150.0,bottom
U7,35.145871,-5.64093,150.0,bottom
U8_2,31.16301,-29.671108,0.0,top
U8,79.452509,-29.671108,0.0,top
U9_2,38.040333,-43.482714,144.0,bottom
U9,86.329832,-43.482714,144.0,bottom
